 PSA Number , Year ,, Sub-Category , Brand ,,Name with Japanese or English version,Model Code,,,Condition,Graded service & grade number,,,,,
155581139,2025,Trading Cards,Single Cards,Pokemon,,Mega Charizard X ex – Special Art Rare (110/080) (JP),110/080,01,,Grade Card,PSA 10,,1,," ¥ 45,150 ",#DIV/0!
129376620,2021,Trading Cards,Single Cards,Pokemon,,Charizard - Holo pcp 25th anniversary ed. (001-025) (JP),001-025,02,,Grade Card,PSA 10,,1,," ¥ 36,980 ",#DIV/0!
114049706,2014,Trading Cards,Single Cards,Pokemon,,M Charizard ex wild blaze-1st ed (055/080)(JP),055/080,03,,Grade Card,PSA 10,,1,," ¥ 36,120 ",#DIV/0!
129533626,2023,Trading Cards,Single Cards,Pokemon,,Pokemon SV4a JP Mew ex - Special art Rare (347/190) (JP),347/190,04,,Grade Card,PSA 10,,1,," ¥ 34,400 ",#DIV/0!
117227223,2022,Trading Cards,Single Cards,Pokemon,,Pikachu – Precious Collector Box Sword & Shield (323/S-P) (JP),323/S-P,05,,Grade Card,PSA 10,,1,," ¥ 27,950 ",#DIV/0!
124164961,2025,Trading Cards,Single Cards,Pokemon,,Rocket's Mew Two ex - special art rare (125/098) (JP),125/098,06,,Grade Card,PSA 10,,1,," ¥ 27,950 ",#DIV/0!
122116861,2023,Trading Cards,Single Cards,Pokemon,,Pikachu ex (001/030) (JP),001/030,07,,Grade Card,PSA 10,,1,," ¥ 25,800 ",#DIV/0!
154070167,2025,Trading Cards,Single Cards,Pokemon,,Pokemon M2a JP Pikachu ex - Special art rare (234/193) (JP),234/193,08,,Grade Card,PSA 10,,1,," ¥ 23,650 ",#DIV/0!
144975412,2021,Trading Cards,Single Cards,Pokemon,,Umbreon V – Eevee Heroes (085/069) (JP),085/069,09,,Grade Card,PSA 10,,1,," ¥ 22,575 ",#DIV/0!
141740478,2023,Trading Cards,Single Cards,Pokemon,,Pokemon SV3 JP Charizard ex Special art rare (134/108) (JP),134/108,10,,Grade Card,PSA 10,,1,," ¥ 21,500 ",#DIV/0!
,,,,,,,,,,,,,,,,
63519247,2023,Trading Cards,Single Cards,Pokemon,,Pikachu - Yu Nagaba x PCG Campaign (208/SV-P) (JP),208/S-P,11,,Grade Card,PSA 10,,1,," ¥ 13,975 ",#DIV/0!
